차례	항목	풀이	품사	빈도	개수	교재	교과	교양	문학	신문	잡지	대본	구어	기타
12850	정립02	定立	명	11 	6 	0 	0 	9 	0 	1 	1 	0 	0 	0 
53233	정립05	鼎立	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
14828	정립되다	定立-	동	9 	6 	0 	0 	7 	0 	2 	0 	0 	0 	0 
19385	정립시키다	定立-	동	6 	2 	0 	0 	6 	0 	0 	0 	0 	0 	0 
53234	정립적	定立的	관	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
14829	정립하다01	正立-	동	9 	6 	0 	0 	6 	0 	2 	1 	0 	0 	0 
9770	정립하다02	定立-	동	16 	8 	0 	0 	16 	0 	0 	0 	0 	0 	0 
5275	정말01	正-	감	35 	19 	3 	0 	0 	8 	0 	0 	17 	6 	1 
3129	정말01	正-	명	66 	29 	1 	3 	3 	44 	2 	3 	4 	4 	2 
349	정말01	正-	부	553 	104 	71 	19 	48 	183 	24 	68 	34 	61 	45 
2425	정말로	正-	부	89 	37 	2 	2 	17 	41 	3 	9 	2 	9 	4 
53235	정말정말		부	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
53236	정맥04	靜脈	명	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
2906	정면01	正面	명	72 	39 	0 	5 	16 	17 	25 	8 	1 	0 	0 
28990	정면성	正面性	명	3 	1 	0 	0 	3 	0 	0 	0 	0 	0 	0 
28991	정면충돌	正面衝突	명	3 	2 	0 	0 	0 	0 	3 	0 	0 	0 	0 
53237	정면충돌되다	正面衝突-	동	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
36128	정면충돌하다	正面衝突-	동	2 	2 	0 	0 	0 	0 	1 	0 	1 	0 	0 
53238	정명02	正命	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
36129	정묘01	丁卯	명	2 	1 	2 	0 	0 	0 	0 	0 	0 	0 	0 
4551	정무01	政務	명	42 	9 	0 	0 	2 	2 	27 	11 	0 	0 	0 
36130	정무직	政務職	명	2 	1 	0 	0 	0 	0 	2 	0 	0 	0 	0 
4305	정문03	正門	명	45 	20 	2 	2 	11 	19 	3 	7 	0 	0 	1 
53239	정문05	旌門	명	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
19386	정물02	靜物	명	6 	4 	0 	3 	0 	2 	0 	1 	0 	0 	0 
53240	정물화	靜物畵	명	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
28992	정미기	精米機	명	3 	1 	0 	0 	0 	0 	3 	0 	0 	0 	0 
21704	정미소	精米所	명	5 	4 	0 	0 	0 	1 	1 	2 	0 	0 	1 
53241	정미하다02	精米-	동	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
5967	정밀02	精密	명	30 	11 	0 	0 	0 	0 	24 	5 	0 	1 	0 
53242	정밀도	精密度	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
36131	정밀성	精密性	명	2 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0 
53243	정밀적	精密的	명	1 	1 	0 	0 	0 	0 	0 	0 	0 	1 	0 
11383	정밀하다02	精密-	형	13 	10 	1 	1 	5 	0 	5 	0 	0 	1 	0 
53244	정밀히02	精密-	부	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
