차례	항목	품사	빈도	개수	교재	교과	교양	문학	신문	잡지	대본	구어	기타
45	도록	연	1,573 	147 	36 	245 	301 	234 	491 	198 	8 	10 	50 
422	도록	종	3 	3 	0 	0 	1 	0 	0 	2 	0 	0 	0 
598	돗	선	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
143	되	연	99 	47 	6 	3 	36 	5 	36 	9 	0 	2 	2 
423	드	선	3 	2 	0 	0 	0 	2 	0 	0 	1 	0 	0 
599	드끼	연	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
492	드나	종	2 	1 	0 	0 	0 	0 	0 	0 	2 	0 	0 
600	드니	연	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
601	드라	종	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
602	드랑깨	종	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
493	드만	종	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
603	드이	연	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
604	든	관	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
113	든	연	215 	67 	6 	0 	64 	48 	30 	27 	17 	7 	16 
183	든가	연	42 	29 	0 	0 	15 	3 	10 	4 	7 	1 	2 
605	든디	종	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
133	든지	연	121 	44 	11 	5 	24 	46 	3 	9 	6 	16 	1 
77	듯	연	528 	97 	4 	11 	95 	202 	52 	86 	67 	0 	11 
84	듯이	연	455 	102 	23 	33 	176 	111 	34 	36 	5 	20 	17 
424	등만	종	3 	1 	0 	0 	0 	0 	0 	0 	0 	0 	3 
310	디	연	8 	4 	1 	0 	0 	1 	0 	1 	5 	0 	0 
320	디	종	7 	6 	1 	0 	1 	2 	0 	0 	1 	2 	0 
606	디만	연	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
9	ㄹ	관	24,098 	175 	1,181 	1,666 	6,520 	4,276 	4,981 	3,158 	455 	684 	1,177 
198	ㄹ걸	종	30 	23 	6 	2 	3 	7 	0 	2 	4 	6 	0 
124	ㄹ게	종	163 	56 	24 	9 	2 	36 	0 	5 	56 	20 	11 
494	ㄹ고	연	2 	2 	0 	0 	0 	1 	1 	0 	0 	0 	0 
46	ㄹ까	종	1,538 	146 	142 	196 	233 	469 	75 	183 	45 	104 	91 
495	ㄹ깝쇼	종	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
367	ㄹ꼬	종	5 	5 	0 	1 	0 	3 	0 	0 	0 	0 	1 
425	ㄹ끄나	종	3 	1 	0 	0 	0 	3 	0 	0 	0 	0 	0 
607	ㄹ끼마	연	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
321	ㄹ는지	연	7 	7 	0 	1 	3 	2 	1 	0 	0 	0 	0 
185	ㄹ는지	종	41 	27 	1 	2 	19 	6 	6 	5 	0 	1 	1 
386	ㄹ라	연	4 	3 	0 	2 	0 	1 	0 	0 	1 	0 	0 
260	ㄹ라	종	14 	11 	1 	0 	1 	2 	3 	2 	3 	0 	2 
426	ㄹ라고	종	3 	3 	0 	0 	0 	2 	0 	0 	0 	0 	1 
608	ㄹ라구	종	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
609	ㄹ라까나	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
610	ㄹ라요	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
226	ㄹ라치면	연	19 	12 	0 	0 	4 	4 	0 	9 	0 	0 	2 
611	ㄹ라카모	연	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
368	ㄹ락	연	5 	4 	0 	2 	1 	2 	0 	0 	0 	0 	0 
612	ㄹ란디	연	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
613	ㄹ랍쥬	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
614	ㄹ랑께	연	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
615	ㄹ랑께	종	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
161	ㄹ래	종	68 	33 	19 	1 	1 	11 	0 	5 	15 	8 	8 
616	ㄹ러라	종	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
617	ㄹ려구	연	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
211	ㄹ망정	연	23 	14 	0 	0 	3 	9 	0 	2 	0 	0 	9 
387	ㄹ밖에	종	4 	4 	0 	0 	0 	1 	1 	2 	0 	0 	0 
250	ㄹ뿐더러	연	15 	8 	1 	0 	10 	2 	0 	1 	1 	0 	0 
496	ㄹ사	종	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
203	ㄹ세	종	28 	10 	5 	0 	11 	6 	0 	0 	6 	0 	0 
261	ㄹ세라	연	14 	13 	1 	0 	1 	6 	3 	1 	0 	0 	2 
618	ㄹ손	연	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 
105	ㄹ수록	연	278 	90 	19 	21 	63 	47 	47 	52 	2 	6 	21 
619	ㄹ시	연	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
620	ㄹ쏜가	종	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
497	ㄹ작시면	연	2 	2 	0 	1 	0 	1 	0 	0 	0 	0 	0 
158	ㄹ지	연	74 	42 	1 	3 	6 	31 	17 	10 	0 	0 	6 
